 Mohindra (Con)
Aaron Bell (Con)
Abena Oppong-Asare (Lab)
Adam Afriyie (Con)
Adam Holloway (Con)
Adrian Bailey (Lab)
Afzal Khan (Lab)
Alan Brown (Snp)
Alan Campbell (Lab)
Alan Duncan (Con)
Alan Haselhurst (Con)
Alan Johnson (Lab)
Alan Mak (Con)
Alan Meale (Lab)
Alan Whitehead (Lab)
Alasdair Mcdonnell (Sdlp)
Albert Owen (Lab)
Alberto Costa (Con)
Alec Shelbrooke (Con)
Alex Burghart (Con)
Alex Chalk (Con)
Alex Cunningham (Lab)
Alex Davies-Jones (Lab)
Alex Norris (Lab)
Alex Salmond (Snp)
Alex Sobel (Lab)
Alexander Stafford (Con)
Alicia Kearns (Con)
Alison Mcgovern (Lab)
Alison Thewliss (Snp)
Alistair Burt (Con)
Alistair Burt (Ind)
Alistair Carmichael (Ld)
Alistair Strathern (Lab)
Alister Jack (Con)
Allan Dorans (Snp)
Alok Sharma (Con)
Alun Cairns (Con)
Alyn Smith (Snp)
Amanda Milling (Con)
Amanda Solloway (Con)
Amber Rudd (Con)
Amber Rudd (Ind)
Amy Callaghan (Snp)
Andrea Jenkyns (Con)
Andrea Leadsom (Con)
Andrew Bingham (Con)
Andrew Bowie (Con)
Andrew Bridgen (Con)
Andrew Bridgen (Ind)
Andrew Bridgen (Reclaim)
Andrew C Bowie (Con)
Andrew Griffith (Con)
Andrew Griffiths (Con)
Andrew Griffiths (Ind)
Andrew Gwynne (Lab)
Andrew Jones (Con)
Andrew Lewer (Con)
Andrew Mitchell (Con)
Andrew Murrison (Con)
Andrew Percy (Con)
Andrew Rosindell (Con)
Andrew Selous (Con)
Andrew Smith (Lab)
Andrew Stephenson (Con)
Andrew Turner (Con)
Andrew Tyrie (Con)
Andrew Western (Lab)
Andy Burnham (Lab)
Andy Carter (Con)
Andy Mcdonald (Ind)
Andy Mcdonald (Lab)
Andy Slaughter (Lab)
Angela Crawley (Snp)
Angela Eagle (Lab)
Angela Rayner (Lab)
Angela Richardson (Con)
Angela Smith (Ind)
Angela Smith (Ld)
Angela Smith (Lab)
Angus Brendan Macneil (Ind)
Angus Brendan Macneil (Snp)
Angus Robertson (Snp)
Ann Clwyd (Lab)
Ann Coffey (Cuk)
Ann Coffey (Igc)
Ann Coffey (Ind)
Ann Coffey (Lab)
Anna Firth (Con)
Anna Mcmorrin (Lab)
Anna Soubry (Cuk)
Anna Soubry (Con)
Anna Soubry (Igc)
Anna Soubry (Ind)
Anna Turley (Lab)
Anne Main (Con)
Anne Marie Morris (Con)
Anne Marie Morris (Ind)
Anne Mclaughlin (Snp)
Anne Milton (Con)
Anne Milton (Ind)
Anne-Marie Trevelyan (Con)
Anneliese Dodds (Lab)
Anthony Browne (Con)
Anthony Mangnall (Con)
Antoinette Sandbach (Con)
Antoinette Sandbach (Ind)
Antony Higginbotham (Con)
Anum Qaisar (Snp)
Anum Qaisar-Javed (Snp)
Apsana Begum (Lab)
Ashley Dalton (Lab)
Bambos Charalambous (Lab)
Barbara Keeley (Lab)
Barry Gardiner (Lab)
Barry Sheerman (Lab)
Bell Ribeiro-Addy (Lab)
Ben Bradley (Con)
Ben Bradshaw (Lab)
Ben Everitt (Con)
Ben Gummer (Con)
Ben Howlett (Con)
Ben Lake (Pc)
Ben Spencer (Con)
Ben Wallace (Con)
Bernard Jenkin (Con)
Beth Winter (Lab)
Bill Esterson (Lab)
Bill Grant (Con)
Bill Wiggin (Con)
Bim Afolami (Con)
Bob Blackman (Con)
Bob Seely (Con)
Bob Stewart (Con)
Bob Stewart (Ind)
Boris Johnson (Con)
Brandon Lewis (Con)
Brendan Clarke-Smith (Con)
Brendan O'Hara (Snp)
Bridget Phillipson (Lab)
Byron Davies (Con)
Callum Mccaig (Snp)
Calum Kerr (Snp)
Carla Lockhart (Dup)
Carol Monaghan (Snp)
Caroline Ansell (Con)
Caroline Dinenage (Con)
Caroline Flint (Lab)
Caroline Johnson (Con)
Caroline Lucas (Green)
Caroline Nokes (Con)
Caroline Nokes (Ind)
Caroline Spelman (Con)
Carolyn Harris (Lab)
Cat Smith (Lab)
Catherine Mckinnell (Lab)
Catherine West (Lab)
Charles Walker (Con)
Charlie Elphicke (Con)
Charlie Elphicke (Ind)
Charlotte Leslie (Con)
Charlotte Nichols (Lab)
Cherilyn Mackrory (Con)
Cheryl Gillan (Con)
